🕘️更新时间,#genre#
2025-05-30 17:24:59,http://localhost:8000/hls/-6657197856715460161

📺央视频道,#genre#
CCTV-1 综合,http://localhost:8000/hls/-6657197856715460161
CCTV-5 体育,http://localhost:8000/hls/507191229976910097
CCTV-13 新闻,http://localhost:8000/hls/6702854306439186306
CCTV-13 新闻,http://localhost:8000/hls/-7640399664797818973
CCTV-14 少儿,http://localhost:8000/hls/-3911494684900168999
CHC动作电影,http://localhost:8000/hls/-475654996062945661

📺CETV（中国教育电视台）,#genre#
CETV-4 职业教育（空中课堂）,http://localhost:8000/hls/-7651551709884442221

💰央视付费频道,#genre#
CCTV-风云音乐,http://localhost:8000/hls/4548097859125041739

📺CGTN（中国国际电视台）,#genre#
CGTN 国际,http://localhost:8000/hls/-671073548991897444

📡卫视频道,#genre#
东南卫视（福建卫视）,http://localhost:8000/hls/-4122645284104446440
广西卫视,http://localhost:8000/hls/-2813574822523065352
广西卫视,http://localhost:8000/hls/5925549667988914389
广西卫视,http://localhost:8000/hls/-7970160229624626157
河北卫视,http://localhost:8000/hls/6918387172580092728
河北卫视,http://localhost:8000/hls/5720934470835601352
河南卫视,http://localhost:8000/hls/-2549950868971738051
黑龙江卫视,http://localhost:8000/hls/-6224311962555016551
三沙卫视,http://localhost:8000/hls/2307162483829138914
山东卫视,http://localhost:8000/hls/-9069729538368366230
山西卫视,http://localhost:8000/hls/4939598041487119553
西藏卫视,http://localhost:8000/hls/8022070505596002606
浙江卫视,http://localhost:8000/hls/339815796897351009

☘️河南频道,#genre#
临颍综合,http://localhost:8000/hls/-3549478101056246252
义马新闻综合,http://localhost:8000/hls/8587666138901480328
光山综合,http://localhost:8000/hls/631092787850334076
兰考新闻,http://localhost:8000/hls/4929663983749190794
卫辉综合,http://localhost:8000/hls/-4684866644667671753
唐河一套,http://localhost:8000/hls/6798818578934935792
固始综合,http://localhost:8000/hls/4951915816984870944
宝丰综合,http://localhost:8000/hls/6416561732071415556
巩义新闻综合,http://localhost:8000/hls/-5437189058217626714
扶沟综合,http://localhost:8000/hls/676163976082119951
新乡县电视台,http://localhost:8000/hls/645030920078905201
新县综合,http://localhost:8000/hls/7160890119594251406
新蔡综合,http://localhost:8000/hls/7097338492146288268
泌阳新闻综合,http://localhost:8000/hls/-5545983031926130404
渑池新闻综合,http://localhost:8000/hls/1239488502681546446
温县综合,http://localhost:8000/hls/-7101737044937058645
潢川综合,http://localhost:8000/hls/-3324234429151262416
登封综合,http://localhost:8000/hls/9165988986051265502
禹州综合,http://localhost:8000/hls/1948109310369523496
西华综合,http://localhost:8000/hls/-5343383351378309754
郏县综合,http://localhost:8000/hls/5134116978231908001
郸城新闻综合,http://localhost:8000/hls/-1252342325527896034
鄢陵综合,http://localhost:8000/hls/-5912748839888931461
邓州新闻,http://localhost:8000/hls/2492226472124528853
荥阳综合,http://localhost:8000/hls/-6044257945338219217
荥阳综合,http://localhost:8000/hls/-9146839372837956233
灵宝新闻综合,http://localhost:8000/hls/-830480449976553942
滑县新闻,http://localhost:8000/hls/-8288920475827742471
济源电视一套,http://localhost:8000/hls/4052110811981078469
洛阳综合,http://localhost:8000/hls/-405706656883707294
洛阳科教,http://localhost:8000/hls/9184025478331148373
洛阳文旅,http://localhost:8000/hls/-172200870240663762
沁阳新闻综合,http://localhost:8000/hls/8005052858911079194
永城综合,http://localhost:8000/hls/9065958477065135556
方城一套,http://localhost:8000/hls/3535842912521191771
新野综合,http://localhost:8000/hls/29657251629872538
新安新闻综合,http://localhost:8000/hls/9083775064834452565
新安新闻综合,http://localhost:8000/hls/-5486024798020621198
开封新闻综合,http://localhost:8000/hls/1796654845867838452
开封文化旅游,http://localhost:8000/hls/5846194828434601049
开封文化旅游,http://localhost:8000/hls/-2421580280099111996
嵩县综合新闻,http://localhost:8000/hls/4350291899869771546
宜阳综合,http://localhost:8000/hls/4963784842511103212
内黄综合,http://localhost:8000/hls/7288196119534006910
内乡综合,http://localhost:8000/hls/-3740226275925936729
偃师新闻,http://localhost:8000/hls/5422734411602086482

☘️广东频道,#genre#
广东珠江,http://localhost:8000/hls/-5632775640374258701
广东珠江,http://localhost:8000/hls/-395981259331573230
大湾区卫视,http://localhost:8000/hls/-740766054011054880
广州综合,http://localhost:8000/hls/8392203681880665431
广州综合,http://localhost:8000/hls/8373970051635732763
广州影视,http://localhost:8000/hls/6176471494604657903

☘️浙江频道,#genre#
浙江钱江,http://localhost:8000/hls/-8880785900819056049
浙江生活,http://localhost:8000/hls/6082960964073513074
浙江生活,http://localhost:8000/hls/-4155080425786532297
浙江少儿,http://localhost:8000/hls/6529938443768925485
浙江国际,http://localhost:8000/hls/4456489356816266231
嘉兴新闻综合,http://localhost:8000/hls/-5974260858154811212
浙江青田,http://localhost:8000/hls/5984175501756832368
浙江遂昌,http://localhost:8000/hls/8367672675708997348
诸暨新闻综合,http://localhost:8000/hls/-99897049350809102
诸暨新闻综合,http://localhost:8000/hls/9062330287219290579
龙游生活娱乐,http://localhost:8000/hls/7391757136241594488
龙游生活娱乐,http://localhost:8000/hls/-977023409383007964
龙游新闻综合,http://localhost:8000/hls/-7040984997424868105
龙游新闻综合,http://localhost:8000/hls/8040703658769404459
龙泉新闻综合,http://localhost:8000/hls/2532888742076258307
龙泉新闻综合,http://localhost:8000/hls/4526464641306134589
青田电视台,http://localhost:8000/hls/8735529057106899666
遂昌综合,http://localhost:8000/hls/-5399283045709196524
象山综合,http://localhost:8000/hls/-8482419414196231165
象山新闻综合,http://localhost:8000/hls/3221739192941315234
衢江新闻综合,http://localhost:8000/hls/5049588007386641488
萧山生活,http://localhost:8000/hls/3296336129438776741
萧山生活,http://localhost:8000/hls/-4800649849667527633
萧山新闻综合,http://localhost:8000/hls/-8798084117955618848
萧山新闻综合,http://localhost:8000/hls/2333059763275218481
萧山新闻综合,http://localhost:8000/hls/2333059763275218481
萧山新闻综合,http://localhost:8000/hls/708604113815067161
萧山新闻综合,http://localhost:8000/hls/6760973444525951845
苍南新闻综合,http://localhost:8000/hls/8107252645765549752
缙云综合,http://localhost:8000/hls/2411534569801068206
缙云新闻综合,http://localhost:8000/hls/-771546420299468209
洞头综合,http://localhost:8000/hls/-6940846933994150336
永嘉新闻综合,http://localhost:8000/hls/4383261335389551344
武义新闻综合,http://localhost:8000/hls/-7520162379698935967
武义新闻综合,http://localhost:8000/hls/3717322929108092031
普陀电视台,http://localhost:8000/hls/-7623567035997161868
普陀电视台,http://localhost:8000/hls/218578299494804475
普陀新闻综合,http://localhost:8000/hls/-3635043606473253303
普陀新闻综合,http://localhost:8000/hls/-8727650627186203803
新昌生活,http://localhost:8000/hls/5627515078114605533
新昌新闻综合,http://localhost:8000/hls/-1940839142508853640
新昌新闻综合,http://localhost:8000/hls/6163076704742849609
文成综合,http://localhost:8000/hls/-142810257565499320
开化新闻综合,http://localhost:8000/hls/6378477776324004755
开化国家公园,http://localhost:8000/hls/1203993650604393949
庆元综合,http://localhost:8000/hls/-3935222294057870402
庆元综合,http://localhost:8000/hls/-3926131594721766230
庆元综合,http://localhost:8000/hls/-3095010123880141153
平湖民生休闲,http://localhost:8000/hls/-159637859496802528
平湖新闻综合,http://localhost:8000/hls/222183102924535895
嵊泗综合,http://localhost:8000/hls/2380347807147908297
嵊州新闻综合,http://localhost:8000/hls/-555633142603573387
兰溪新闻综合,http://localhost:8000/hls/-3518091873319373801
兰溪新闻综合,http://localhost:8000/hls/-5309769474344208075
余杭综合,http://localhost:8000/hls/-5280072662606011607
余杭未来E,http://localhost:8000/hls/6133468943945659918
余姚综合,http://localhost:8000/hls/-5901325207113222911
余姚综合,http://localhost:8000/hls/-2385560678028447443
余姚综合,http://localhost:8000/hls/3962157067091736917
余姚综合,http://localhost:8000/hls/6361647538622268185
余姚新闻综合,http://localhost:8000/hls/-8690527623318752291
